DateHeure,P_NET_TRAFO,V_avg_trafo,P_TENNIS,V_avg_tennis
2020-09-20 19:30:00,4874.0,236.21,-350.0,235.02197407902096
2020-09-20 19:45:00,5010.0,236.4,770.0,235.1663116463184
2020-09-20 20:00:00,7382.0,236.15,820.0,235.03352108440475
2020-09-20 20:15:00,6697.0,236.1,30.0,234.4908118313665
2020-09-20 20:30:00,7328.0,236.49,-160.0,234.8660895063398
2020-09-20 20:45:00,6263.0,236.94,-170.0,234.9411450413344
2020-09-20 21:00:00,5157.0,236.71,-170.0,235.6512858724377
2020-09-20 21:15:00,5001.0,236.55,-170.0,235.4145722620699
2020-09-20 21:30:00,6273.0,236.31,-170.0,235.2933287055401
2020-09-20 21:45:00,5505.0,236.58,660.0,234.9757860574858
2020-09-20 22:00:00,4984.0,237.08,300.0,235.6108713535944
2020-09-20 22:15:00,4974.0,238.48,-170.0,236.09007207702183
2020-09-20 22:30:00,5855.0,238.23,-170.0,237.47571272307687
2020-09-20 22:45:00,4853.0,238.44,-180.0,236.81753341620072
2020-09-20 23:00:00,6448.0,238.15,90.0,237.23899911270917
2020-09-20 23:15:00,4163.0,238.57,850.0,236.7078368650547
2020-09-20 23:30:00,3575.0,238.65,580.0,237.38333668000652
2020-09-20 23:45:00,4913.0,238.15,-170.0,237.6315972957581
2020-09-21 00:00:00,4207.0,237.8,-180.0,237.07734103733605
2020-09-21 00:15:00,4619.0,237.68,-170.0,236.64432833544384
2020-09-21 00:30:00,4884.0,237.56,-170.0,236.4999907681464
2020-09-21 00:45:00,5346.0,237.33,-170.0,236.4768967573788
2020-09-21 01:00:00,5291.0,237.54,230.0,236.1535806066326
2020-09-21 01:15:00,4047.0,238.54,710.0,236.1824481200921
2020-09-21 01:30:00,4442.0,237.86,-180.0,237.53922125268772
2020-09-21 01:45:00,4030.0,238.53,-170.0,236.7078368650547
2020-09-21 02:00:00,8883.0,238.37,-170.0,237.49303323115262
2020-09-21 02:15:00,11197.0,238.94,-170.0,236.72515737313043
2020-09-21 02:30:00,9628.0,238.95,720.0,236.86372143773588
2020-09-21 02:45:00,9533.0,239.16,850.0,237.12930256156312
2020-09-21 03:00:00,10096.0,239.45,-30.0,237.25054611809293
2020-09-21 03:15:00,10037.0,237.39,-170.0,237.5969562796067
2020-09-21 03:30:00,10709.0,237.02,-170.0,235.50117480244842
2020-09-21 03:45:00,6236.0,237.08,-170.0,234.97001255479398
2020-09-21 04:00:00,4630.0,237.31,-170.0,235.78407643435128
2020-09-21 04:15:00,5791.0,238.78,-170.0,236.32101218469762
2020-09-21 04:30:00,3671.0,238.69,840.0,237.33137515577945
2020-09-21 04:45:00,4441.0,239.84,160.0,237.49880673384445
2020-09-21 05:00:00,4492.0,238.31,-180.0,238.76897732606162
2020-09-21 05:15:00,4231.0,237.63,-170.0,237.16394357771446
2020-09-21 05:30:00,6134.0,237.31,-170.0,236.66742234621142
2020-09-21 05:45:00,6399.0,236.04,300.0,235.92841400164866
2020-09-21 06:00:00,6745.0,236.32,850.0,234.38111528022046
2020-09-21 06:15:00,5189.0,236.48,440.0,234.7217519390424
2020-09-21 06:30:00,7195.0,235.79,-170.0,235.25291418669684
2020-09-21 06:45:00,5988.0,235.93,-160.0,234.39843578829615
2020-09-21 07:00:00,5661.0,238.02,-170.0,234.8199014848046
2020-09-21 07:15:00,5675.0,237.76,-170.0,236.5115377735302
2020-09-21 07:30:00,5106.0,236.96,-460.0,236.4307087358437
2020-09-21 07:45:00,3070.0,237.38,-750.0,235.72056790474042
2020-09-21 08:00:00,15230.0,238.33,-2210.0,236.3672002062328
2020-09-21 08:15:00,14582.0,238.28,-4560.0,235.69747389397284
2020-09-21 08:30:00,4938.0,238.66,-6070.0,236.40761472507612
2020-09-21 08:45:00,10497.0,238.73,-12070.0,238.50339620223443
2020-09-21 09:00:00,12632.0,237.9,-15700.0,238.9652764175861
2020-09-21 09:15:00,18174.0,236.99,-18180.0,238.22626807302342
2020-09-21 09:30:00,4631.0,237.36,-17380.0,236.46534975199503
2020-09-21 09:45:00,29723.0,236.99,-39940.0,239.51953267600814
2020-09-21 10:00:00,20683.0,236.84,-38740.0,239.20199002795383
2020-09-21 10:15:00,22140.0,236.93,-45940.0,239.91213085905716
2020-09-21 10:30:00,20408.0,236.87,-53550.0,241.60376714778272
2020-09-21 10:45:00,27191.0,237.0,-62710.0,243.0009547992216
2020-09-21 11:00:00,32959.0,236.17,-66170.0,243.1683863772866
2020-09-21 11:15:00,60312.0,236.08,-70730.0,241.87512177430185
2020-09-21 11:30:00,33080.0,236.08,-29760.0,237.03115301580087
2020-09-21 11:45:00,21145.0,236.34,-18340.0,234.92382453325874
2020-09-21 12:00:00,17671.0,236.63,-21920.0,234.9411450413344
2020-09-21 12:15:00,-17782.0,237.89,-35510.0,237.25631962078484
2020-09-21 12:30:00,90142.0,237.23,-99950.0,247.7814150281117
2020-09-21 12:45:00,27864.0,237.12,-33560.0,238.09925101380168
2020-09-21 13:00:00,20157.0,236.53,-32540.0,237.98378095996372
2020-09-21 13:15:00,24739.0,236.07,-33610.0,238.32441761878562
2020-09-21 13:30:00,24111.0,235.66,-30310.0,237.5969562796067
2020-09-21 13:45:00,22127.0,235.89,-26790.0,236.65010183813567
2020-09-21 14:00:00,21990.0,235.64,-28070.0,236.3845207143085
2020-09-21 14:15:00,19431.0,235.73,-26270.0,236.66164884351952
2020-09-21 14:30:00,17815.0,236.0,-24070.0,236.67896935159519
2020-09-21 14:45:00,17978.0,236.31,-22220.0,236.53463178429783
2020-09-21 15:00:00,14876.0,236.49,-23360.0,237.12352905887118
2020-09-21 15:15:00,16947.0,236.06,-23980.0,237.95491344650424
2020-09-21 15:30:00,19094.0,236.4,-23170.0,237.3891101826985
2020-09-21 15:45:00,17340.0,236.02,-23060.0,237.08311454002796
2020-09-21 16:00:00,16582.0,236.49,-24710.0,236.9445504754224
2020-09-21 16:15:00,20351.0,237.18,-25330.0,237.79325537113118
2020-09-21 16:30:00,20623.0,237.31,-22250.0,238.081930505726
2020-09-21 16:45:00,17229.0,237.9,-21460.0,237.56808876614724
2020-09-21 17:00:00,19078.0,238.15,-20950.0,238.5495842237696
2020-09-21 17:15:00,29166.0,238.73,-20470.0,238.1685330461044
2020-09-21 17:30:00,27702.0,238.49,-20390.0,237.55654176076342
2020-09-21 17:45:00,26866.0,238.35,-16510.0,237.5045802365364
2020-09-21 18:00:00,24473.0,238.1,-10920.0,236.19976862816785
2020-09-21 18:15:00,26232.0,236.8,-7240.0,234.97001255479398
2020-09-21 18:30:00,27363.0,236.71,-4400.0,233.05898316377625
2020-09-21 18:45:00,35137.0,235.86,-2720.0,232.348842332673
2020-09-21 19:00:00,51816.0,235.76,-670.0,228.78081766908107
2020-09-21 19:15:00,49909.0,235.31,490.0,226.2982115115657
2020-09-21 19:30:00,51950.0,235.52,720.0,225.88251931774917
2020-09-21 19:45:00,47842.0,235.81,70.0,226.62730116500381
2020-09-21 20:00:00,45324.0,235.51,-160.0,227.2392924503448
2020-09-21 20:15:00,40816.0,235.91,-150.0,227.47600606071254
2020-09-21 20:30:00,39260.0,236.4,-150.0,228.3304844591132
2020-09-21 20:45:00,38347.0,236.95,-160.0,228.78659117177298
2020-09-21 21:00:00,17533.0,238.12,-160.0,230.27615486628227
2020-09-21 21:15:00,12808.0,238.22,770.0,235.22982017592926
2020-09-21 21:30:00,9663.0,238.47,110.0,235.55890982936728
2020-09-21 21:45:00,8652.0,238.26,-170.0,236.76557189197362
2020-09-21 22:00:00,7918.0,236.68,-170.0,236.68474285428712
2020-09-21 22:15:00,11063.0,236.87,-170.0,235.21249966785354
2020-09-21 22:30:00,10197.0,236.39,640.0,235.10857661939946
